@relation SerieA

@attribute homeTeam {Atalanta,Bologna,Cagliari,Chievo,Crotone,Empoli,Fiorentina,Genoa,Inter,Juventus,Lazio,Milan,Napoli,Palermo,Pescara,Roma,Sampdoria,Sassuolo,Torino,Udinese}
@attribute awayTeam {Atalanta,Bologna,Cagliari,Chievo,Crotone,Empoli,Fiorentina,Genoa,Inter,Juventus,Lazio,Milan,Napoli,Palermo,Pescara,Roma,Sampdoria,Sassuolo,Torino,Udinese}
@attribute homeGoalFT numeric
@attribute awayGoalFT numeric
@attribute resultFT {H,A}
@attribute homeGoalHT numeric
@attribute awayGoalHT numeric
@attribute homeShot numeric
@attribute awayShot numeric
@attribute homeShotTarget numeric
@attribute awayShotTarget numeric
@attribute homeCorner numeric
@attribute awayCorner numeric
@attribute homeFouls numeric
@attribute awayFouls numeric
@attribute homeYellow numeric
@attribute awayYellow numeric
@attribute homeRed numeric
@attribute awayRed numeric
@attribute differenceGoalHT numeric
@attribute pctHShot numeric

@data
Sassuolo,Palermo,4,1,H,2,1,14,14,7,3,8,3,14,11,2,2,0,0,1,0.5
Udinese,Roma,0,1,A,0,1,10,13,5,4,4,7,16,17,2,1,0,0,-1,0.434783
Torino,Milan,2,2,H,2,0,17,23,7,8,6,6,11,11,5,1,0,1,2,0.425
Chievo,Fiorentina,0,3,A,0,1,17,10,6,6,2,8,18,18,3,2,0,0,-1,0.62963
Milan,Napoli,1,2,A,1,2,13,9,4,5,7,1,15,16,4,4,0,0,-1,0.590909
Atalanta,Sampdoria,1,0,H,0,0,13,13,6,3,5,5,13,20,1,3,0,0,0,0.5
Bologna,Torino,2,0,H,1,0,9,9,5,2,2,9,11,11,2,2,0,0,1,0.5
Empoli,Udinese,1,0,H,0,0,5,9,1,2,7,3,18,17,4,4,0,0,0,0.357143
Genoa,Crotone,2,2,H,1,0,10,14,4,6,7,5,18,9,1,2,0,0,1,0.416667
Juventus,Lazio,2,0,H,2,0,7,11,2,2,0,4,10,19,0,3,0,0,2,0.388889
Palermo,Inter,0,1,A,0,0,6,16,0,6,7,12,23,13,5,1,1,1,0,0.272727
Pescara,Sassuolo,1,3,A,0,1,19,16,5,5,5,6,12,23,4,5,0,0,-1,0.542857
Roma,Cagliari,1,0,H,0,0,18,8,6,0,5,4,8,15,1,3,0,1,0,0.692308
Inter,Pescara,3,0,H,2,0,17,10,7,4,11,3,13,12,1,1,0,0,2,0.62963
Lazio,Chievo,0,1,A,0,0,28,7,8,2,10,3,16,8,2,2,0,0,0,0.8
Cagliari,Bologna,1,1,H,0,0,19,8,6,2,3,2,15,18,2,3,0,2,0,0.703704
Crotone,Empoli,4,1,H,1,1,14,5,7,3,8,1,13,14,3,1,0,0,0,0.736842
Fiorentina,Genoa,3,3,H,1,0,22,7,8,3,5,0,10,20,3,4,1,0,1,0.758621
Napoli,Palermo,1,1,H,0,1,19,3,10,2,14,2,6,9,0,3,0,1,-1,0.863636
Sampdoria,Roma,3,2,H,1,1,18,16,7,10,7,7,19,14,2,3,0,0,0,0.529412
Sassuolo,Juventus,0,2,A,0,2,7,14,3,5,5,6,18,13,3,1,0,0,-2,0.333333
Torino,Atalanta,1,1,H,1,0,12,17,4,8,2,6,19,18,1,2,0,0,1,0.413793
Udinese,Milan,2,1,H,1,1,12,12,5,5,2,7,9,13,3,2,0,0,0,0.5
Pescara,Fiorentina,1,2,A,1,0,4,22,3,4,1,14,10,15,4,3,0,0,1,0.153846
Bologna,Napoli,1,7,A,1,4,17,14,7,9,3,0,10,9,2,3,1,1,-3,0.548387
Atalanta,Cagliari,2,0,H,2,0,13,4,5,0,6,4,18,18,4,2,0,0,2,0.764706
Chievo,Udinese,0,0,H,0,0,6,12,0,1,5,6,20,21,2,1,1,0,0,0.333333
Empoli,Torino,1,1,H,1,1,10,9,2,4,2,3,17,23,6,4,0,0,0,0.526316
Genoa,Sassuolo,0,1,A,0,1,15,7,4,3,8,9,14,7,2,1,0,0,-1,0.681818
